host,port,userId,loginName,password,newPassword,emailPassword,newEmailPassword,packageName,version,languagePack,source,appType,regEmail,loginEmail,bindEmail,rebindEmail,regPhoneNo,loginPhoneNo,bindPhoneNo,rebindPhoneNo,regPassword,firstName,lastName,companyName,country,companyAddress,companyTel,companyEmail,companyWeb,companyProfile,pic,voice,inviteEmail,isEncrypt
60.191.214.150,8011,1000693,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000694,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000695,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000696,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000697,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000698,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000699,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000700,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000701,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000702,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000703,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000704,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000705,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000706,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000707,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000708,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000709,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000710,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000711,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
